Stn	T4700	G150	T1966	T461	T1338	T3133	Spp
Balsfjord 2	70-70	131-131	102-102	143-143	NA	113-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	NA	115-119	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	141-141	75-75	113-113	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Balsfjord 2	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Balsfjord 2	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Balsfjord 2	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	113-113	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-141	NA	113-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	110-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Korsfjord	70-70	131-131	102-102	NA	75-75	113-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	134-141	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-143	85-85	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	85-85	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-143	75-75	113-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-143	72-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-143	75-75	115-116	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	139-141	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	141-141	NA	113-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Raunefjord	70-70	131-131	102-102	139-143	75-75	115-115	Calanus finmarchicus
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Bjørnøya 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	70-70	131-131	102-102	141-143	NA	115-115	Calanus finmarchicus
Bjørnøya 1	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Bjørnøya 1	70-70	131-131	102-102	141-141	72-72	113-115	Calanus finmarchicus
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Bjørnøya 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Bjørnøya 1	70-70	131-131	102-102	143-143	75-75	115-119	Calanus finmarchicus
Bjørnøya 1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Bjørnøya 1	70-70	131-131	102-102	143-143	72-72	115-115	Calanus finmarchicus
Bjørnøya 1	70-70	131-131	102-102	141-143	72-72	115-115	Calanus finmarchicus
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	70-70	131-131	102-102	143-143	75-75	115-119	Calanus finmarchicus
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Bjørnøya 1	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Bjørnøya 1	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Bjørnøya 1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Bjørnøya 1	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	141-143	NA	113-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	141-143	75-75	110-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	141-143	NA	115-116	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	141-143	75-75	113-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Grønsfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	139-139	75-75	113-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	141-141	75-75	113-113	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	NA	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	NA	75-75	113-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	141-143	75-75	113-117	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	NA	75-75	113-119	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Hardangerfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	70-70	131-131	102-102	143-143	75-75	113-115	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	141-143	75-75	113-115	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	141-141	75-75	113-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	143-143	NA	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	70-70	131-131	102-102	143-143	75-75	115-116	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	NA	72-72	107-107	Calanus glacialis
Isfjord	70-70	131-131	102-102	143-143	75-75	113-113	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Isfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	143-143	NA	113-115	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	70-70	131-131	102-102	141-141	NA	115-115	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	143-143	75-75	115-115	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	132-136	72-72	105-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	105-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	134-134	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	134-136	72-72	107-107	Calanus glacialis
Isfjord	70-70	131-131	102-102	141-143	75-75	115-115	Calanus finmarchicus
Isfjord	70-70	131-131	102-102	141-141	75-75	115-115	Calanus finmarchicus
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	105-105	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
Isfjord	67-67	161-161	99-99	136-136	72-72	107-107	Calanus glacialis
